Year,RecreationVisitors,ParkName,Visitors_Mil
1988,1948332,Zion,1.948332
1989,1998856,Zion,1.998856
1990,2102400,Zion,2.1024
1991,2236997,Zion,2.236997
1992,2390626,Zion,2.390626
1993,2392580,Zion,2.39258
1994,2270871,Zion,2.270871
1995,2430162,Zion,2.430162
1996,2498001,Zion,2.498001
1997,2445534,Zion,2.445534
1998,2370048,Zion,2.370048
1999,2449664,Zion,2.449664
2000,2432348,Zion,2.432348
2001,2217779,Zion,2.217779
2002,2592545,Zion,2.592545
2003,2458792,Zion,2.458792
2004,2677342,Zion,2.677342
2005,2586665,Zion,2.586665
2006,2567350,Zion,2.56735
2007,2657281,Zion,2.657281
2008,2690154,Zion,2.690154
2009,2735402,Zion,2.735402
2010,2665972,Zion,2.665972
2011,2825505,Zion,2.825505
2012,2973607,Zion,2.973607
2013,2807387,Zion,2.807387
2014,3189696,Zion,3.189696
2015,3648846,Zion,3.648846
2016,4295127,Zion,4.295127
2017,4504812,Zion,4.504812
